gene,abundance
pucM,2.66
yomT,2.65
yjkA,2.65
yoaT,2.64
skfF,2.64
yncC,2.64
ywbA,2.64
ybfH,2.63
prpE,2.63
ylbJ,2.62
yeeG,2.62
yhcZ,2.62
ydbO,2.62
gabR,2.61
mdxF,2.6
yusQ,2.59
yceB,2.59
ysnE,2.59
yxdM,2.59
yitD,2.58
yabM,2.56
spoIIIAE,2.56
feuB,2.56
rhaB,2.56
ytzE,2.55
yoaM,2.55
yozN,2.55
ydeR,2.55
ybbJ,2.54
yefC,2.52
yycE,2.52
yfkL,2.52
ydeD,2.52
yesO,2.51
glpT,2.51
yraK,2.51
yrdN,2.5
ypjC,2.5
yjmB,2.5
Bsubs1_010100015636,2.48
ywmB,2.48
yvaD,2.47
cdoA,2.47
msmE,2.47
yfiN,2.46
yrzO,2.45
yxlE,2.44
yxjC,2.44
yopN,2.44
clsB,2.44
yveG,2.43
spoVAEB,2.42
natR,2.42
ytxC,2.42
yrdF,2.42
yitQ,2.41
yqbP,2.41
ywcJ,2.41
yjaZ,2.4
yoaU,2.39
ylaH,2.38
ywaF,2.38
yqaI,2.38
cotR,2.38
yotJ,2.38
albE,2.38
yqgM,2.37
glnK,2.35
ybaR,2.34
ysxD,2.34
ydeA,2.34
ydhH,2.34
sacB,2.33
ywhH,2.32
tagB,2.32
ywmF,2.29
yxnA,2.28
yetF,2.27
yqbN,2.27
yttB,2.27
ykzE,2.26
arsB,2.25
ywfM,2.25
yvkN,2.25
yvdP,2.25
yqcB,2.24
ylbK,2.22
yosW,2.22
yvoD,2.22
ktrB,2.21
yybD,2.21
flgM,2.19
yjzD,2.19
ytlD,2.19
yknV,2.19
cotA,2.19
catE,2.18
mifM,2.18
yonA,2.18
yqzF,2.16
mmr,2.15
yyaO,2.14
ywhK,2.14
yqaO,2.14
ypbQ,2.13
yhdI,2.12
ylaE,2.12
ytgP,2.11
yflP,2.11
ywbB,2.11
yabQ,2.11
yfiC,2.1
yqiH,2.09
cotP,2.09
yjbA,2.07
ygaJ,2.06
ytbD,2.05
yofA,2.05
ykoH,2.05
ytrC,2.05
ypbD,2.04
ydeG,2.04
yndG,2.02
liaG,2.02
psiE,2.02
yozD,2.01
ycdC,2
yolD,2
yobV,2
ssuA,2
yozQ,1.99
cydC,1.99
yopG,1.99
ganQ,1.99
yvdB,1.97
yxlG,1.95
chaA,1.95
yoqY,1.94
pdaB,1.93
prsW,1.93
BSU08210,1.92
nrnB,1.91
yotB,1.91
yvgM,1.91
aapA,1.9
spoIIIAD,1.9
ylyA,1.9
xkdP,1.9
trpD,1.9
ycxC,1.89
ypkP,1.88
ydaH,1.88
Bsubs1_010100003418,1.88
yebD,1.87
ywhL,1.86
yngG,1.86
yvfR,1.86
yesL,1.85
nagZ,1.85
yodA,1.84
yyxA,1.84
yorO,1.83
yfmB,1.83
yitG,1.82
yvbG,1.82
bsdA,1.81
yoqN,1.8
ydcO,1.8
yhcU,1.79
lplB,1.79
yoqI,1.79
yqeD,1.78
lytT,1.77
yfkF,1.77
adaB,1.76
gutA,1.74
yonB,1.74
ymcC,1.74
yoqA,1.73
yisN,1.73
tuaC,1.73
yyaM,1.72
yhaX,1.72
Bsubs1_010100020941,1.7
atpI,1.69
gudP,1.68
ssuD,1.67
ycgQ,1.67
Bsubs1_010100011361,1.66
Bsubs1_010100009491,1.65
amyC,1.64
yuxJ,1.64
yqzI,1.63
rghRB,1.62
ydbK,1.62
yqeW,1.61
yomU,1.6
yxeI,1.59
feuC,1.59
ybgB,1.59
yhdB,1.58
ykjA,1.58
yyzE,1.58
yphA,1.57
ydhD,1.57
ssuB,1.56
yoaV,1.55
ebrB,1.54
yrbD,1.53
citS,1.53
ykvO,1.53
yhfC,1.51
tgl,1.51
ylbE,1.51
yqaF,1.5
yclD,1.49
araQ,1.48
yopD,1.47
yczH,1.47
pucJ,1.46
yflN,1.46
yusN,1.44
yclG,1.44
brnQ,1.43
yxeD,1.42
oxdD,1.41
yorQ,1.4
yqjF,1.39
csbA,1.38
ybcL,1.37
cwlC,1.37
yqzN,1.36
ywoG,1.34
epsG,1.34
narK,1.34
ywoD,1.34
yycD,1.34
yczE,1.33
bcsA,1.33
ykoG,1.33
yheJ,1.31
yrkJ,1.3
yosB,1.3
yhcA,1.3
ganP,1.29
ylaC,1.29
mrpE,1.28
yfiU,1.28
spoVAB,1.28
yxiK,1.27
crcB1,1.26
mdxG,1.23
yfhI,1.22
ybaS,1.21
yosH,1.21
yvdR,1.21
ycgI,1.19
yoqZ,1.16
yhjE,1.16
yjfB,1.15
Bsubs1_010100003413,1.12
gerPE,1.11
yfjE,1.09
yrdR,1.08
ydfS,1.07
yclO,1.06
yozJ,1.06
ycbM,1.06
hxlB,1.05
Bsubs1_010100021916,1.05
yuzC,1.04
phy,1.04
ypzD,1.02
araE,1.02
yflA,1.01
yycB,1
comGD,1
yveA,0.963
ysxA,0.962
Bsubs1_010100005063,0.937
yczO,0.937
ypzH,0.937
fosB,0.929
Bsubs1_010100010416,0.923
yczK,0.91
yoaR,0.902
yjbE,0.901
xkdS,0.887
tetB,0.876
yvnA,0.869
ythB,0.869
amyD,0.851
yizA,0.837
splA,0.835
ycbK,0.825
yetJ,0.823
yomQ,0.822
kdgT,0.8
yesF,0.793
yxxE,0.788
ktrD,0.77
kbaA,0.766
yckA,0.766
yoaO,0.761
yopE,0.759
gerBB,0.755
rmlA,0.746
ykrP,0.74
BSU36720,0.734
ytwI,0.732
yubD,0.715
ywqO,0.695
steT,0.692
ynaI,0.691
yndM,0.69
yrrI,0.663
yoqH,0.638
ywbF,0.637
exuT,0.631
yteP,0.622
BSU33170,0.614
fliR,0.609
yqgO,0.598
ydcS,0.578
ynzG,0.576
ypnP,0.569
crcB2,0.548
sacX,0.544
yojA,0.539
yqjC,0.538
ydgB,0.538
yjzG,0.52
yrdB,0.504
yhaU,0.5
Bsubs1_010100000480,0.494
araP,0.492
spoVE,0.482
trpP,0.47
yxlH,0.468
Bsubs1_010100002273,0.468
ytcP,0.456
spoIIM,0.443
yosV,0.436
ythA,0.435
ywdD,0.432
capC,0.43
yvkA,0.423
cotT,0.419
nhaC,0.409
Bsubs1_010100021776,0.408
yobB,0.404
xkdR,0.4
Bsubs1_010100010371,0.395
tcyL,0.391
gerPA,0.378
ynzD,0.348
yugN,0.309
yrzT,0.302
mrpB,0.288
yorC,0.269
yptA,0.264
yjzE,0.262
yngHB,0.257
gerKB,0.256
glnM,0.254
Bsubs1_010100021896,0.243
ydcA,0.239
ykzM,0.209
Bsubs1_010100020526,0.182
gerPB,0.174
ydzJ,0.174
Bsubs1_010100003303,0.171
Bsubs1_010100021826,0.133
Bsubs1_010100006706,0.131
yrzP,0.119
cotJB,0.112
yizB,0.109
Bsubs1_010100020236,0.1
yqbG,0.093
fliL,378
dra,378
yndB,376
spo0M,376
yxxD,375
yjbG,373
lytA,373
acoA,372
lysS,372
yxaI,372
lrgB,372
yoxD,371
rsbW,370
yqjE,370
ylaL,369
spoVS,368
ywbC,368
proS,368
ilvA,367
yitW,367
mreB,367
cysI,365
comGC,364
yxjH,363
ytkL,363
lysC,363
secG,362
flgL,361
acoB,359
vpr,359
hmoA,357
ylaN,356
tcyA,356
yqhY,355
rny,354
trxB,352
pckA,352
pheS,352
yqcF,349
yurO,349
pfs,348
yuaG,347
yheM,345
fliD,344
yktA,344
rpoZ,342
yuaE,342
lytC,342
yjbL,341
mtnB,339
folE,338
yqiT,338
ysnA,337
yozO,337
typA,335
artM,334
mrgA,334
yneR,333
hisA,331
yqgA,331
yloU,330
efeM,330
ydjF,330
maeN,329
yxaL,329
yvdD,328
ysaA,327
metI,326
cccB,325
yflT,325
tagD,323
yusI,323
dnaN,323
yugJ,322
mcpA,321
yeeI,320
fabD,319
yqhX,319
pyrG,318
ohrA,317
yybJ,316
lutA,316
yvfG,315
glmS,315
yqkB,315
gmk,314
bioB,313
mscL,313
ssbB,313
ylbP,312
yvbK,311
accD,311
secA,310
ypqE,310
pyrF,309
rbsK,308
plsC,308
hisG,307
ezrA,307
gudB,306
