gene,abundance
divIC,37.2
yvcN,37.1
manP,37.1
mccB,37.1
sunT,37.1
yfmF,36.9
yraH,36.9
yuzF,36.9
nupC,36.9
hutP,36.8
yczG,36.7
yvrO,36.7
ydeP,36.7
yfmD,36.7
rapA,36.7
csbD,36.7
ywgB,36.7
ybcF,36.6
yloC,36.5
mnmA,36.3
tsaD,36.3
ywqG,36.2
iolD,36.2
licT,36.1
yxlC,36.1
mhqA,36.1
ylxG,36
ygaO,36
recN,36
yopJ,35.9
ypsA,35.9
uppS,35.9
fliS,35.8
iolA,35.7
yxaF,35.7
glnQ,35.6
pheA,35.6
albC,35.6
iolG,35.6
BSU21610,35.6
yjfA,35.6
ypbR,35.5
ywrF,35.4
dfrA,35.2
ymxG,35.1
tatAy,35
ykyB,35
zur,35
spoIIAA,34.8
glnR,34.8
ywdF,34.7
ywtF,34.7
yfnC,34.6
coaD,34.5
yeaC,34.4
dgkA,34.4
yheH,34.4
yjdA,34.4
mnmE,34.2
resE,34.1
fliE,33.8
yxeO,33.7
yhgD,33.7
ykuM,33.6
rapC,33.6
yacL,33.5
efeN,33.4
yqfT,33.3
ypuI,33.3
ykyA,33.2
dus2,33.2
tagG,33.2
ydcK,33.2
yqcK,33.1
yebC,33
yneQ,33
kduD,32.9
yfnA,32.9
yuzA,32.9
dnaI,32.9
thyA1,32.9
acuB,32.8
yfiV,32.8
cwlS,32.7
rsmB,32.7
yxnB,32.6
ymfC,32.6
yrkA,32.6
BSU25000,32.6
pelC,32.5
yfjF,32.5
ylbC,32.5
yqcG,32.4
ymzA,32.4
ccdC,32.3
menG,32.2
resC,32.1
dnaX,32
ydhE,32
yusO,31.9
spoIIIAH,31.8
yvyI,31.6
ogt,31.6
yorH,31.6
ypiA,31.5
copA,31.5
hemY,31.5
BSU23080,31.4
ydhC,31.4
yrrM,31.4
sacP,31.3
pcrB,31.3
lrpC,31.2
yitA,31.2
rnz,31.1
sul,31.1
yyaK,31
ydiF,31
immR,31
yycI,30.9
yvaG,30.9
yrpB,30.8
pucE,30.8
arsR,30.8
yrbE,30.5
yoxC,30.5
sumT,30.5
queE,30.4
ktrA,30.3
sbcC,30.3
yaaB,30.1
yvcP,30.1
aadK,30.1
yugU,30
ylbF,30
mrnC,30
yheI,29.9
yhzB,29.9
spoIISB,29.8
acpS,29.8
ykpB,29.8
fliK,29.8
ywbD,29.8
gdpP,29.7
coaBC,29.6
pfyP,29.6
dpaB,29.6
ypeQ,29.6
yyaQ,29.6
resB,29.5
putB,29.5
mutL,29.4
ypbH,29.4
tdk,29.4
mutI,29.4
yqeM,29.4
tuaF,29.3
yfmK,29.2
murQ,29.1
lipL,29
ywjC,29
sspI,28.8
ylbL,28.7
yhcS,28.7
yopT,28.7
ydiO,28.7
yczF,28.6
yqxM,28.5
